order_id,customer_id,customer_city,customer_state,order_status,order_purchase_timestamp,order_delivered_customer_date,order_estimated_delivery_date,items[](product_id^seller_id^category^price^freight),payments[](type^installments^value),review^(score^title^comment)
ORD-0001,CUST-101,Sao Paulo,SP,delivered,2023-03-12 09:14:22,2023-03-20 14:22:00,2023-03-25 00:00:00,PROD-A01^SELL-X10^electronics^129.90^12.50~PROD-A02^SELL-X10^electronics^49.90^8.00,credit_card^3^200.30,5^Great purchase^Products arrived well packed and ahead of schedule. Very happy!
ORD-0002,CUST-102,Rio de Janeiro,RJ,delivered,2023-03-13 11:05:55,2023-03-22 10:10:00,2023-03-28 00:00:00,PROD-B01^SELL-Y20^furniture^349.00^45.00,boleto^1^394.00,4^Good product^The furniture was solid but assembly instructions were confusing.
ORD-0003,CUST-103,Belo Horizonte,MG,delivered,2023-03-14 15:33:10,2023-03-24 09:00:00,2023-03-30 00:00:00,PROD-C01^SELL-Z30^health_beauty^39.90^6.50~PROD-C02^SELL-Z30^health_beauty^59.90^6.50~PROD-C03^SELL-W40^sports_leisure^89.90^14.00,credit_card^6^150.30~voucher^1^51.50,3^Average experience^Products were fine but delivery took longer than expected.
ORD-0004,CUST-104,Curitiba,PR,delivered,2023-03-15 08:22:00,2023-03-21 16:45:00,2023-03-26 00:00:00,PROD-D01^SELL-X10^computers^1299.00^0.00,debit_card^1^1299.00,5^Excellent laptop^Arrived fast and in perfect condition. Exactly as described.
ORD-0005,CUST-105,Porto Alegre,RS,delivered,2023-03-16 14:10:44,2023-03-26 11:30:00,2023-03-31 00:00:00,PROD-E01^SELL-Y20^housewares^79.90^9.00~PROD-E02^SELL-V50^housewares^34.90^9.00,credit_card^2^132.80,5^Love it^Both items were exactly what I needed. Fast shipping too!
ORD-0006,CUST-106,Salvador,BA,delivered,2023-03-17 10:50:00,2023-03-28 08:00:00,2023-04-01 00:00:00,PROD-F01^SELL-W40^toys^24.90^5.00,boleto^1^29.90,1^Broken on arrival^The toy arrived completely damaged. Terrible packaging.
ORD-0007,CUST-107,Manaus,AM,delivered,2023-03-18 17:40:00,2023-03-29 13:00:00,2023-04-03 00:00:00,PROD-G01^SELL-V50^garden_tools^149.90^18.00~PROD-G02^SELL-V50^garden_tools^89.90^18.00,credit_card^4^222.80~voucher^1^35.00,4^Good quality^Tools are well made. One item had a minor scratch but overall good.
ORD-0008,CUST-108,Fortaleza,CE,delivered,2023-03-19 09:05:00,2023-03-30 10:15:00,2023-04-05 00:00:00,PROD-H01^SELL-X10^electronics^599.00^0.00~PROD-H02^SELL-Z30^electronics^199.00^12.00~PROD-H03^SELL-Z30^electronics^79.90^12.00,credit_card^12^902.90,5^Best electronics deal^All three items arrived together. Fast delivery. Highly recommend.
ORD-0009,CUST-109,Brasilia,DF,shipped,2023-03-20 12:15:00,,2023-04-06 00:00:00,PROD-I01^SELL-Y20^fashion_bags^189.00^15.00,credit_card^2^204.00,
ORD-0010,CUST-110,Aracaju,SE,canceled,2023-03-21 16:00:00,,2023-04-07 00:00:00,PROD-J01^SELL-W40^books^42.90^7.00,credit_card^1^49.90,
